"","mpg","disp","hp","drat","wt","qsec","vs","am","gear","carb"
"1",22.8,108,93,3.85,2.32,18.61,1,1,4,1
"2",24.4,146.7,62,3.69,3.19,20,1,0,4,2
"3",22.8,140.8,95,3.92,3.15,22.9,1,0,4,2
"4",32.4,78.7,66,4.08,2.2,19.47,1,1,4,1
"5",30.4,75.7,52,4.93,1.615,18.52,1,1,4,2
"6",33.9,71.1,65,4.22,1.835,19.9,1,1,4,1
"7",21.5,120.1,97,3.7,2.465,20.01,1,0,3,1
"8",27.3,79,66,4.08,1.935,18.9,1,1,4,1
"9",26,120.3,91,4.43,2.14,16.7,0,1,5,2
"10",30.4,95.1,113,3.77,1.513,16.9,1,1,5,2
"11",21.4,121,109,4.11,2.78,18.6,1,1,4,2
